match_code,group,round,date,time,team1,team2,score1,score2,referee1,referee2,commentator,player_of_match,goals_team1,goals_team2,var_team1,var_team2
A01,A,1,"الخميس, فبراير 19, 2026",21:30,دائرة القضاء,نادي مدينة أبوظبي للجولف,0.0,1.0,عمر ال علي,جاسم عبدالله,عمر الطنيجي,ياسين ادو عزيز,,ياسين ادو عزيز (1),0,0
A02,A,1,,22:30,قطاع المشاريع الهندسية والفنية,مكتب التدقيق والتطوير المؤسسي,0.0,0.0,عمر ال علي,جاسم عبدالله,عمر الطنيجي,اوكيمي ايونتوس اوموه,,,0,0
A03,A,2,"الثلاثاء, فبراير 24, 2026",21:30,مكتب التدقيق والتطوير المؤسسي,نادي مدينة أبوظبي للجولف,,,,,,,,,0,0
A04,A,2,,22:30,قطاع المشاريع الهندسية والفنية,دائرة القضاء,,,,,,,,,0,0
A05,A,3,"الأحد, مارس 01, 2026",21:30,دائرة القضاء,مكتب التدقيق والتطوير المؤسسي,,,,,,,,,0,0
A06,A,3,,22:30,قطاع المشاريع الهندسية والفنية,نادي مدينة أبوظبي للجولف,,,,,,,,,0,0
B01,B,1,"الجمعة, فبراير 20, 2026",21:30,مكتب الأمين العام,المركز الوطني للمناصحة,1.0,1.0,حمد علي يوسف,علي راشد النعيمي,خالد العبري,سيرجني فالو امباك,محمد خلاف خلاف (1),نوربيرت ساندور (1),0,0
B02,B,1,,22:30,هيئة أبوظبي للزراعة والسلامة الغذائية,مكتب الشؤون القانونية,1.0,4.0,حمد علي يوسف,علي راشد النعيمي,خالد العبري,علي عشا,عدنان لكناوي (1),"علي عشا (3), عمر ديمي (1)",0,0
B03,B,2,"الأربعاء, فبراير 25, 2026",21:30,مكتب الشؤون القانونية,المركز الوطني للمناصحة,,,,,,,,,0,0
B04,B,2,,22:30,هيئة أبوظبي للزراعة والسلامة الغذائية,مكتب الأمين العام,,,,,,,,,0,0
B05,B,3,"الاثنين, مارس 02, 2026",21:30,مكتب الأمين العام,مكتب الشؤون القانونية,,,,,,,,,0,0
B06,B,3,,22:30,هيئة أبوظبي للزراعة والسلامة الغذائية,المركز الوطني للمناصحة,,,,,,,,,0,0
C01,C,1,"الأحد, فبراير 22, 2026",21:30,مدارس الامارات الوطنية,مكتب التنسيق المجتمعي,2.0,0.0,احمد عيسى درويش,مسعود حسن,خالد العبري,سعد سامي صالح,"احمد سمير علي (1), يوسف اكيوض (1)",,0,0
C02,C,1,,22:30,قطاع الشؤون المالية والمشتريات,قطاع الخدمات المساندة,2.0,3.0,احمد عيسى درويش,مسعود حسن,خالد العبري,لامار اونيل ل والكار,"رشيد ابوالزهر (1), سعد لامطي (1)","سامويل امواكو امواكو (1), لامار اونيل ل والكار (1), صالح بن سالم بن صالح (1)",0,0
C03,C,2,"الخميس, فبراير 26, 2026",21:30,قطاع الخدمات المساندة,مكتب التنسيق المجتمعي,,,,,,,,,0,0
C04,C,2,,22:30,قطاع الشؤون المالية والمشتريات,مدارس الامارات الوطنية,,,,,,,,,0,0
C05,C,3,"الثلاثاء, مارس 03, 2026",21:30,مدارس الامارات الوطنية,قطاع الخدمات المساندة,,,,,,,,,0,0
C06,C,3,,22:30,قطاع الشؤون المالية والمشتريات,مكتب التنسيق المجتمعي,,,,,,,,,0,0
D01,D,1,"الاثنين, فبراير 23, 2026",21:30,مكتب شؤون المواطنين والمجتمع,مكتب البعثات الدراسية,0.0,0.0,عادل النقبي,سبت عبيد,عمر الطنيجي,احمد محمد انور,,,0,0
D02,D,1,,22:30,الارشيف والمكتبة الوطنية,مكتب الشؤون التنموية واسر الشهداء,1.0,1.0,عادل النقبي,سبت عبيد,عمر الطنيجي,فلافيو دي ليما,جوناثان كودجيا كودجيا (1),فلافيو دي ليما (1),0,0
D03,D,2,"الجمعة, فبراير 27, 2026",21:30,مكتب الشؤون التنموية واسر الشهداء,مكتب البعثات الدراسية,,,,,,,,,0,0
D04,D,2,,22:30,الارشيف والمكتبة الوطنية,مكتب شؤون المواطنين والمجتمع,,,,,,,,,0,0
D05,D,3,"الأربعاء, مارس 04, 2026",21:30,مكتب شؤون المواطنين والمجتمع,مكتب الشؤون التنموية واسر الشهداء,,,,,,,,,0,0
D06,D,3,,22:30,الارشيف والمكتبة الوطنية,مكتب البعثات الدراسية,,,,,,,,,0,0
